Date,Close,High,Low,Open,Volume
04/05/2022,14491,14507,14411.90039,14491,0
05/05/2022,14425,14490,14386,14425,0
06/05/2022,14458.7002,14501.5,14450.90039,14458.7002,0
09/05/2022,14490,14594.90039,14490,14490,0
10/05/2022,14552.2002,14620.7998,14508.5,14552.2002,0
11/05/2022,14520.7998,14560.7998,14490.40039,14520.7998,0
12/05/2022,14543.40039,14671.59961,14523.7002,14543.40039,0
13/05/2022,14632.09961,14669.5,14589.7002,14632.09961,0
16/05/2022,14606,14744.7002,14596.7002,14606,0
17/05/2022,14645,14690,14606,14645,0
18/05/2022,14630.59961,14731.5,14630.59961,14630.59961,0
19/05/2022,14740,14755,14568.5,14740,0
20/05/2022,14626.7998,14683.7998,14618,14626.7998,0
23/05/2022,14645,14671.7002,14609.90039,14645,0
24/05/2022,14619.2002,14687.09961,14591.67969,14619.2002,0
25/05/2022,14635.7998,14663,14588.5,14635.7998,0
26/05/2022,14597,14631.40039,14572.2002,14597,0
27/05/2022,14584.2002,14626,14522.2002,14584.2002,0
30/05/2022,14570,14571,14497.7998,14570,0
31/05/2022,14538.40039,14594,14471.28027,14538.40039,0
01/06/2022,14543.90039,14574,14513.40039,14543.90039,0
02/06/2022,14531.5,14585.2002,14364.5,14531.5,0
03/06/2022,14426.7998,14476,14385,14426.7998,0
06/06/2022,14431,14472,14401.7002,14431,0
07/06/2022,14435.2002,14473.7002,14435.2998,14435.2002,0
08/06/2022,14458.7998,14523.5,14411.5,14458.7998,0
09/06/2022,14495.2998,14592.59961,14404.62012,14495.2998,0
10/06/2022,14611.7998,14647,14454.7002,14611.7998,0
13/06/2022,14546,14808.2002,14496.16016,14546,0
14/06/2022,14795,14804,14678,14795,0
15/06/2022,14740.7998,14791.2002,14632.7002,14740.7998,0
16/06/2022,14681,14872,14661.2002,14681,0
17/06/2022,14776.09961,14854.5,14667.2998,14776.09961,0
20/06/2022,14816,14848.2002,14753.86035,14816,0
